##mBInventory;;;;;;;
code;name;category;quantity;cost;active;visible;unit
INVENTORY-TABLES;Tables;categorie-kugatumba-bar;48;80000;TRUE;TRUE;piece
INVENTORY-CHAISE_DE_COMPTOIR;Chaises de comptoir;categorie-kugatumba-bar;44;150000;TRUE;TRUE;piece
INVENTORY-TABLES_DE_COMPTOIR;Tables de comptoir;categorie-kugatumba-bar;10;250000;TRUE;TRUE;piece
INVENTORY-CHAISE_FAUTEUILS; fauteuils complet;categorie-kugatumba-bar;6;400000;TRUE;TRUE;piece
INVENTORY-CHAISES_BRARUDI;Chaises plastiq;categorie-kugatumba-bar;270;35000;TRUE;TRUE;piece
INVENTORY-TABLES_BRARUDI;Tables plastiq;categorie-kugatumba-bar;44;60000;TRUE;TRUE;piece
INVENTORY-IMITAKA_YA_BRARUDI;Imitaka ;categorie-kugatumba-bar;30;150000;TRUE;TRUE;piece
INVENTORY-BILLARD;Billard;categorie-kugatumba-bar;2;5000000;TRUE;TRUE;piece
INVENTORY-FRIGO;Frigo;categorie-kugatumba-bar;2;3000000;TRUE;TRUE;piece
INVENTORY-FRIGO_BRARUDI;Frigo brarudi;categorie-kugatumba-bar;1;0;TRUE;TRUE;piece
INVENTORY-ORDINATEUR;Ordinateur;categorie-kugatumba-bar;1;800000;TRUE;TRUE;piece
INVENTORY-IMPRIMANTE;Imprimante;categorie-kugatumba-bar;1;1000000;TRUE;TRUE;piece
INVENTORY-PARAPLUIE;Parapluie;categorie-kugatumba-bar;5;12000;TRUE;TRUE;piece
INVENTORY-CARCULATRICE;Carculatrice;categorie-kugatumba-bar;1;10000;TRUE;TRUE;piece
INVENTORY-POUBELLE;Poubelle;categorie-kugatumba-bar;3;10000;TRUE;TRUE;piece
INVENTORY-CAMERA;Camera;categorie-kugatumba-bar;1;2500000;TRUE;TRUE;piece
INVENROTY-CONGELATEUR;Congelateur;categorie-kugatumba-bar;1;500000;TRUE;TRUE;piece
INVENTORY-ROUTEUR;Routeur;categorie-kugatumba-bar;1;150000;TRUE;TRUE;piece
INVENTORY-VERRE-SIMPLE;Verre simple;categorie-kugatumba-bar;50;5000;TRUE;TRUE;piece
INVENTORY-CONGELATEUR-BRARUDI;Congelateur brarudi;categorie-kugatumba-bar;1;0;TRUE;TRUE;piece
INVENTORY-PLATEAUX;Plateaux;categorie-kugatumba-bar;9;10000;TRUE;TRUE;piece
INVENTORY-COUPE;Coupe;categorie-kugatumba-bar;30;5000;TRUE;TRUE;piece
INVENTORY-VERRE-DE-VIN;Verre de vin;categorie-kugatumba-bar;19;5000;TRUE;TRUE;piece
INVENTORY-VERRE-BRARUDI;Verre brarudi;categorie-kugatumba-bar;146;0;TRUE;TRUE;piece
;;;;;;;
;;;;;;;
##mBInventory;;;;;;;
code;name;category;quantity;cost;active;visible;unit
INVENTORY-TISSU;Tissu;categorie-kugatumba-salle;10;20000;TRUE;TRUE;piece
INVENTORY-RADIO;Radio JBL;categorie-kugatumba-salle;1;5100000;TRUE;TRUE;piece
INVENTORY-HAUT_PARLEUR;Haut parleur;categorie-kugatumba-salle;1;3700000;TRUE;TRUE;piece
INVENTORY-RETRO_PROJECTEUR;Retro projecteur;categorie-kugatumba-salle;1;450000;TRUE;TRUE;piece
INVENTORY-VENTILLATEUR;Ventillateur;categorie-kugatumba-salle;2;800000;TRUE;TRUE;piece
INVENTORY-MIXEUR-SNACK;Mixeur;categorie-kugatumba-salle;1;1200000;TRUE;TRUE;piece
INVENTORY-RADIO-SIMPLE;Radio simple;categorie-kugatumba-salle;1;1000000;TRUE;TRUE;piece
;;;;;;;
;;;;;;;
;;;;;;;
##mBInventory;;;;;;;
code;name;category;quantity;cost;active;visible;unit
INVENTORY-CAMIONNETTE;Camionnette;categorie-kugatumba-automobile;1;30000000;TRUE;TRUE;piece
INVENTORY-GROUPE_ELECTOGENE;Groupe electrogene;categorie-kugatumba-automobile;1;20000000;TRUE;TRUE;piece
